Store Name,Address,latitude,longitude
The Weld,"Lot G1, Menara Weld Shopping Centre,No.76, Jalan Raja Chulan,Kuala Lumpur 50200",3.1514938,101.7070084
IOI Mall,"Lot G00, Front Entrance, Ground Floor,IOI Mall, Batu 9,Puchong 47100",3.0449441,101.6180882
AEON Maluri,"Lot G33, Ground Floor, Taman Maluri Shopping Centre,Jalan Jejaka,Kuala Lumpur 55100",3.125586,101.728076
Sunway Putra Mall,"Lot No. G-6, Ground Floor,Sunway Putra Mall, No. 100,Kuala Lumpur 50350",3.1665481,101.6921242
Great Eastern Mall,"Lot13 & 14, Ground Floor,Great Eastern Mall, No.303,Kuala Lumpur 50450",3.1602108,101.736936
Bandar Utama 1,"Lot G139A, Ground Floor,1Utama Shopping Centre,Petaling Jaya 47800",3.1508396,101.6154218
Taipan,"No.41, Ground Floor,Jalan USJ 10/1D,Subang Jaya 47620",3.0495027,101.5842314
AEON Alpha Angle,"Lot G25A, Ground Floor, AEON Alpha Angle Shopping Centre,Jalan R1, Seksyen 1,Kuala Lumpur 53300",3.2018867,101.7342405
AEON Bukit Raja,"Lot G35, Ground Floor,Persiaran Bukit Raja 2,Klang 41150",3.0601408,101.471166
Menara Maybank,"Foyer Area, 1st Floor,Menara Maybank, 100,Kuala Lumpur 50050",3.1473265,101.6988555
Reserve Gurney Plaza,"Lot 170-G-38/39,Gurney Plaza,Penang 10250",5.440618199999999,100.3087029
Reserve Berjaya Times Square 1,"Lot No. G-09A, Ground Floor,Berjaya Times Square,Kuala Lumpur 55100",3.1426476,101.7106724
KLCC 2,"Lot 327 & OS304, Third Floor,Suria KLCC,null 50088",3.1577167,101.7121716
IPC Shopping Centre,"Lot G.28 & G.A28, Ground Floor, IPC Shopping Centre,No. 2, Jalan PJU 7/2,Petaling Jaya 47800",3.1563889,101.6119444
Bandar Utama 2,"Lot F352, 1st Floor Rainforest ,1 Utama Shopping Centre,No 1, Lebuh Bandar Utama,Petaling Jaya 47800",3.1501392,101.615762
Low Yat Plaza,"Lot G28, Ground Floor, Plaza Low Yat,No.7, Jalan 1/77,Kuala Lumpur 55100",3.1440649,101.7099624
Giant Kelana Jaya,"Lot G29 & G30, Ground Floor, Giant Hypermarket Kelana Jaya,No.33, Jalan SS6/12,Petaling Jaya 47301",3.1035272,101.5978253
Uptown 1,"Lot 110G, Jalan SS21/39,Damansara Utama,Petaling Jaya 47400",3.1333737,101.6213418
Bangsar Village 1,"No. G7, Ground Floor,Bangsar Village Shopping Centre,Kuala Lumpur 59100",3.129626,101.670946
Alamanda Putrajaya,"No. G59, Ground Floor,Alamanda Putrajaya,Putrajaya 62000",2.9395291,101.7106171
Plaza Shah Alam,"Lot No. G10, Ground Floor, Plaza Shah Alam,No. 2, Jalan Tengku Ampuan Zabedah E9/E,Shah Alam 40100",3.0848252,101.5231176
Sunway Medical Centre,"Lot A-G-R05, Ground Floor, Tower A,No. 5, Jalan Lagoon Selatan,Petaling Jaya 47500",3.0662328,101.6095404
Plaza Damas,"Lot P7-A, Plaza Ground Floor,Hartamas Shopping Centre,Kuala Lumpur 50480",3.1639777,101.65747
Cheras Leisure Mall,"Lot L2-25, Level 2,Cheras Leisure Mall,Kuala Lumpur 56100",3.0896556,101.7431703
E-Gate Penang,"Lot  1-01-17,Lebuh Tengku Kudin 2,Penang 11700",5.377685800000001,100.3150898
Aeon Seremban 2,"Lot G49 &  50,AEON Seremban 2 Shopping Centre,Negeri Sembilan. 70300",2.7013839,101.9119475
Centrepoint BU,"Lot G109 & G110, Ground Floor,Lebuh Bandar Utama,Selangor 47800",3.1369805,101.6082733
"SS15, Subang Jaya","Ground Floor, No.77 & 79,Jalan SS15/8A,Selangor 47500",3.0740793,101.5904179
AEON Tebrau,"Lot G110, Ground Floor,AEON Tebrau City Shopping Centre,Johor 81100",1.5490981,103.7964063
Jetty Point Langkawi,"Lots 15 & 16, Zone 2,Jetty Point Duty Free Complex,Jetty Kuah,Kedah 07000",6.3064468,99.85181159999999
Ipoh Parade,"Lot G24 & G25, Ground FloorIpoh Parade, 105, Jalan Sultan Abdul Jalil,Perak 30450",4.5973444,101.0901493
Pantai Medical Centre,nullnullKuala Lumpur 59100,3.1334642,101.6668621
